name,id,tier,type,description,is_magic,bought,zh,learned_by,monsters_use,buffed_by,mana_cost,gives,pets_use,causes,m1,M2.max,M2.min,turns,ward,hp,strikes,crit,element,cures,cost
Ice Arrow,56,2,Attack,Freeze an arrow and attack the enemy. 25% chance to freeze an opponent.,,,冰之箭,"[{""id"":7,""name"":""Rogue"",""level"":30,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":30,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":30,""specialization"":false}]","[47,67,285]",,25,,,"[""Frozen""]",1.1,1,1,1,,,1,0.05,Water,,
Icestrike,57,2,Attack,Freeze your weapon and attack the enemy.,,,冰凍之擊,"[{""id"":20,""name"":""Frost Mage"",""level"":25,""specialization"":false},{""id"":5,""name"":""Paladin"",""level"":25,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":25,""specialization"":false},{""id"":36,""name"":""Leviathan"",""level"":175,""specialization"":false}]","[39,36,41,266,46,51,72,73,188,363,281,94,242,119]",,25,,[12],"[""Frozen""]",1.1,1,1,1,,,1,0.05,Water,,
Lightningstrike,58,2,Attack,Electrify your weapon and attack the enemy.,,,閃電之擊,"[{""id"":5,""name"":""Paladin"",""level"":25,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":25,""specialization"":false},{""id"":18,""name"":""Storm Knight"",""level"":25,""specialization"":false},{""id"":35,""name"":""Taranis"",""level"":175,""specialization"":false}]","[39,266,46,188,119]",,25,,,"[""Paralyzed""]",1.1,1,1,1,,,1,0.05,Lightning,,
Magic Boost,59,2,Buff,Boosts magic power.,1,,魔法增幅,"[{""id"":6,""name"":""Archmage"",""level"":20,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":20,""specialization"":false}]","[3,48,65,128]",,30,"[""Mag ↑""]",[16],,,,,,,,,,,,
Magic Shield,60,2,Buff,Boosts resistance.,1,,魔法盾,"[{""id"":6,""name"":""Archmage"",""level"":20,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":20,""specialization"":false}]",,,30,"[""Res ↑""]","[16,12,42]",,,,,,,,,,,,
Poison,61,2,Debuff,"90% chance to poison an enemy, causing 5% damage per turn.  NOTE: The in-game description is incorrect. The actual damage is 2% per turn.",1,,下毒,"[{""id"":3,""name"":""Thief"",""level"":20,""specialization"":false}]","[4,9,137,154,34,270,48,33,256,227,67,363,208,488,268,116,219,416]",,25,,"[9,16,41,50,119]","[""Poisoned""]",,,,,,,,,,,
Protection,62,2,Buff,Boosts physical defense.,1,,保護,"[{""id"":4,""name"":""Knight"",""level"":20,""specialization"":false},{""id"":17,""name"":""Legionnaire"",""level"":20,""specialization"":false},{""id"":16,""name"":""Royal Guard"",""level"":20,""specialization"":false},{""id"":18,""name"":""Storm Knight"",""level"":20,""specialization"":false}]","[46,60,85,133,491]",,30,"[""Def ↑""]","[11,16,12,42]",,,,,,,,,,,,
Quake,63,2,Magic,Deals great earthen damage.,1,,地震術,"[{""id"":6,""name"":""Archmage"",""level"":50,""specialization"":false},{""id"":17,""name"":""Legionnaire"",""level"":50,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":50,""specialization"":false}]","[64,42,303,66,84,108,99,341,290,219,178,153,205,180]",,75,,"[29,37]",,1.5,1,1,1,,,1,0,Earthen,,
Shock,64,2,Debuff,Paralyzes an opponent.,1,,電擊,"[{""id"":18,""name"":""Storm Knight"",""level"":20,""specialization"":false},{""id"":35,""name"":""Taranis"",""level"":175,""specialization"":false}]","[20,27,48,49,104,116,219]",,40,,"[50,119]","[""Paralyzed""]",,,,,,,,,Lightning,,
Smoke Bomb,65,2,Debuff,"Attempt to blind an enemy, making them more likely to miss attacks.",1,,煙霧彈,"[{""id"":3,""name"":""Thief"",""level"":25,""specialization"":false}]","[4,207,261,89,90,444,288,116,125,393,440,443]",,25,,"[22,50]","[""Blind""]",,,,,,,,,,,
Spark II,66,2,Magic,Deals moderate lightning damage.,1,,星火術 II,"[{""id"":2,""name"":""Mage"",""level"":25,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":25,""specialization"":false},{""id"":18,""name"":""Storm Knight"",""level"":30,""specialization"":false}]","[42,389,44,45,52,127,61,66,49,123,302,221,350]",,40,,"[80,17,34]",,1.3,1,1,1,,,1,0,Lightning,,
Warcry,67,2,Buff,Boosts attack power.,1,,戰吼,"[{""id"":1,""name"":""Warrior"",""level"":20,""specialization"":false}]","[1,5,122,32,38,57,356,289,441,469,439]",,30,"[""Att ↑""]","[21,16]",,,,,,,,,,,,
Barrier,68,3,Buff,Has a good chance to boost physical and magical defenses.,1,,屏障術,"[{""id"":22,""name"":""Centurion"",""level"":50,""specialization"":false}]",[109],,40,"[""Def ↑"",""Res ↑""]",,,,,,,,,,,,,
Blizzard,69,3,Magic,Deals great ice damage.,1,,暴風雪,"[{""id"":6,""name"":""Archmage"",""level"":50,""specialization"":false},{""id"":20,""name"":""Frost Mage"",""level"":50,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":50,""specialization"":false}]","[64,72,66,299,258,283,94,108,341,290,219,135,140,153,141,205,151,146,180,220,349]",,75,,"[31,25,37]",,1.5,1,1,1,,,1,0,Water,,
Darkstrike,70,3,Attack,Imbue your weapon with the occult and attack the enemy.,,,黑暗之擊,"[{""id"":5,""name"":""Paladin"",""level"":40,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":40,""specialization"":false}]","[266,410,377,259,241,242,226,198,400,204,213,214,284,279]",,35,,"[74,40,128,45,47]",,1.2,1,1,1,,,1,0.05,Dark,,
Doublecut,71,3,Attack,"Swiftly attack twice, dealing up to double damage.",,,二連擊,"[{""id"":7,""name"":""Rogue"",""level"":40,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":40,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":40,""specialization"":false}]","[385,266,47,107,207,209,100,102,117,114,118,115,216,155,144,183,456,295,349]",,15,,"[20,40,96,69,43]",,1,0.5,1.1,1,,,2,0,,,
Exploit,72,3,Debuff,Decreases the opponents physical defense.,1,,剝削,"[{""id"":7,""name"":""Rogue"",""level"":40,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":40,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":40,""specialization"":false}]","[266,47,156,63,261,89,102,396,167,393,183,456]",,30,,,"[""Def ↓""]",,,,,,,,,,,
Flurry,73,3,Attack,"Bombard your opponent with multiple arrows, possibly breaking their defenses in the act.",,,亂舞,"[{""id"":7,""name"":""Rogue"",""level"":50,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":50,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":50,""specialization"":false}]","[163,190,383,139,216]",,25,,,"[""Def ↓""]",1,0.4,1,1,,,3,0,,,
Holystrike,74,3,Attack,Purify your weapon and attack the enemy.,,,神聖之擊,"[{""id"":5,""name"":""Paladin"",""level"":40,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":40,""specialization"":false}]","[266,226,198,204,148,279]",,35,,[48],"[""Blind""]",1.2,1,1,1,,,1,0.05,Holy,,
Meteor,75,3,Magic,Deals great fire damage.,1,,隕石術,"[{""id"":6,""name"":""Archmage"",""level"":50,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":50,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":50,""specialization"":false}]","[40,64,65,339,66,91,108,102,177,341,290,116,219,112,153,141,399,205,146,239,180]",,75,,"[14,30,37]",,1.5,1,1,1,,,1,0,Fire,,
Mute,76,3,Debuff,Decreases the opponents magic power.,1,,沉默術,"[{""id"":6,""name"":""Archmage"",""level"":40,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":40,""specialization"":false}]","[66,116,151]",,30,,,"[""Mag ↓""]",,,,,,,,,,,
Osmostrike,77,3,Attack,"Attack, healing yourself in the process.",,,滲透攻擊,"[{""id"":5,""name"":""Paladin"",""level"":50,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":50,""specialization"":false}]","[272,270,464,213,214,148,238]",,40,,[89],,1.1,1,1,1,,25,1,0.05,,,
Outwill,78,3,Debuff,Decreases the opponents resistance.,1,,威嚇,"[{""id"":23,""name"":""Sorcerer"",""level"":50,""specialization"":false}]","[45,52,66,123,88,94,116,151]",,50,,,"[""Res ↓""]",,,,,,,,,,,
Protection II,79,3,Buff,Greatly boosts physical defense.,1,,保護 II,"[{""id"":22,""name"":""Centurion"",""level"":75,""specialization"":false}]","[281,99,178,282,168,148,184,482,372]",,50,"[""Def ↑↑""]","[126,70,35]",,,,,,,,,,,,
Sleep Dart,81,3,Debuff,Throw a dart with the chance to cause an opponent to fall asleep (75% chance).,1,,睡眠飛鏢,"[{""id"":7,""name"":""Rogue"",""level"":45,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":45,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":45,""specialization"":false}]","[207,100,125,213]",,50,,,"[""Asleep""]",,,,,,,,,,,
Speed,82,3,Buff,Boosts dexterity.,1,,加速術,"[{""id"":7,""name"":""Rogue"",""level"":50,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":50,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":50,""specialization"":false}]","[127,156,190,81,107,209,383,196,288,268,100,104,117,166,139,134,155,147,440]",,40,"[""Dex ↑""]","[2,16,38,85,69,86,82]",,,,,,,,,,,,
Storm,83,3,Magic,Deals great lightning damage.,1,,風暴術,"[{""id"":6,""name"":""Archmage"",""level"":50,""specialization"":false},{""id"":18,""name"":""Storm Knight"",""level"":50,""specialization"":false},{""id"":14,""name"":""Warlock"",""level"":50,""specialization"":false}]","[64,66,302,108,288,104,341,290,219,153,141,205,146,440,180]",,75,,"[34,32,37]",,1.5,1,1,1,,,1,0,Lightning,,
Stun Dart,84,3,Debuff,Throw a dart with the chance to stun an opponent (90% chance).,1,,擊昏飛鏢,"[{""id"":7,""name"":""Rogue"",""level"":45,""specialization"":false},{""id"":19,""name"":""Scorcher"",""level"":45,""specialization"":false},{""id"":13,""name"":""Wanderer"",""level"":45,""specialization"":false}]","[207,444,443]",,50,,[50],"[""Stunned""]",,,,,,,,,,,
Threaten,85,3,Debuff,Decrease the opponent's attack power.,1,,脅迫,"[{""id"":4,""name"":""Knight"",""level"":40,""specialization"":false},{""id"":17,""name"":""Legionnaire"",""level"":40,""specialization"":false},{""id"":16,""name"":""Royal Guard"",""level"":40,""specialization"":false},{""id"":18,""name"":""Storm Knight"",""level"":40,""specialization"":false}]","[1,122,38,46,197,114,118,124,289]",,30,,[28],"[""Att ↓""]",,,,,,,,,,,
Cataclysm,86,4,Magic,"Unstable magic that can deal massive earthen damage, but may damage or stun its caster.",1,,災變術,"[{""id"":23,""name"":""Sorcerer"",""level"":75,""specialization"":false}]",[131],,90,,[49],,1.5,1,2,1,,-5,1,0,Earthen,,
Fulmination,87,4,Magic,"Unstable magic that can deal massive lightning damage, but may damage or paralyze its caster.",1,,雷鳴術,"[{""id"":23,""name"":""Sorcerer"",""level"":75,""specialization"":false}]","[88,109,131]",,90,,"[7,49]",,1.5,1,2,1,,-5,1,0,Lightning,,
Glacier,88,4,Magic,"Unstable magic that can deal massive ice damage, but may damage or freeze its caster.",1,,冰河術,"[{""id"":23,""name"":""Sorcerer"",""level"":75,""specialization"":false}]","[88,109,135,140,131,151,368]",,90,,"[7,49]",,1.5,1,2,1,,-5,1,0,Water,,
Faith,89,4,Magic,Deals great holy damage.,1,,信仰心,"[{""id"":23,""name"":""Sorcerer"",""level"":65,""specialization"":false}]","[161,207,276,400,402,406]",,90,,"[46,48]",,,,,,,,,,Holy,,
Inferno,90,4,Magic,"Unstable magic that can deal massive fire damage, but may damage or burn its caster.",1,,煉獄術,"[{""id"":23,""name"":""Sorcerer"",""level"":75,""specialization"":false}]","[88,109,131]",,90,,"[7,49,65]",,1.5,1,2,1,,-5,1,0,Fire,,
Magic Shield II,91,4,Buff,Greatly boosts resistance.,1,,魔法盾 II,"[{""id"":23,""name"":""Sorcerer"",""level"":50,""specialization"":false}]","[281,216,282,148,372]",,50,"[""Res ↑↑""]","[126,70]",,,,,,,,,,,,
Nightmare,92,4,Magic,Deals great dark damage.,1,,夢魘術,"[{""id"":23,""name"":""Sorcerer"",""level"":65,""specialization"":false}]","[40,64,77,92,70,207,191,377,91,90,259,297,110,276,111,119,386,251,400,236,284,264,402,453,494,367,406]",,90,,"[39,22,33,45,123,46]",,1.5,1,1,1,,,1,0,Dark,,
Omnistrike,93,4,Attack,Strike hard with the chance of weakening your opponent's attack or defenses.,,,融合之擊,"[{""id"":5,""name"":""Paladin"",""level"":50,""specialization"":false},{""id"":15,""name"":""Rune Knight"",""level"":50,""specialization"":false}]","[253,157,459,242,226,364,260,114,216,167,142,257,125,214,287,148,238,206,346]",,75,,,"[""Att ↓"",""Mag ↓"",""Def ↓"",""Res ↓""]",1.3,1,1,1,,,1,0.05,,,
Tricut,94,4,Attack,"Swiftly attack thrice, dealing up to triple damage.",,,三連擊,"[{""id"":21,""name"":""Battle Master"",""level"":75,""specialization"":false}]","[107,235,207,209,420,301,166,274,139,167,252,125,373,120,212,151,193,361,211,168,182,458,232,370,351,482]",,25,,"[43,25,65,58]",,1,0.5,1.1,1,,,3,0,,,
Bear's Might,95,5,Buff,Summon the power of a great bear. Greatly boosts attack power at the expense of your defenses.,1,,巨熊的力量,"[{""id"":12,""name"":""Druid"",""level"":110,""specialization"":false}]",[239],,60,"[""Def ↓↓"",""Res ↓↓"",""Att ↑↑""]",[27],,,,,,,,,,,,
Blightstrike,96,5,Attack,Strike hard with the chance of causing blight.,,,枯萎之擊,"[{""id"":11,""name"":""Dragoon"",""level"":110,""specialization"":false}]","[266,253,158,308,224,274,260,139,252,262,238,206]",,75,,[107],"[""Blight""]",1.3,1,1,1,,,1,0.05,Dragon,,
Dragon Breath,97,5,Magic,"Breath of a dragon. (Chance to inflict Blight, Fire Damage)",1,,龍息術,"[{""id"":11,""name"":""Dragoon"",""level"":120,""specialization"":false}]","[128,164,138,115,399,212,193,493,149,408,211,450,271,322,419,417]",,90,,"[76,127,1,54,36,52,56,63]",,1.2,1,1.5,1,,,1,0,Fire,,
Flare,98,4,Magic,Deals great dragon damage.,1,,閃焰術,"[{""id"":11,""name"":""Dragoon"",""level"":100,""specialization"":false}]","[344,301,276,205,143,254,180,296]",,80,,[52],,1.5,1,1,1,,-5,1,0,Dragon,,
Blast,99,3,Magic,Deals moderate non-elemental damage with the potential to hinder an opponent's attack power.,1,,爆破,"[{""id"":12,""name"":""Druid"",""level"":100,""specialization"":false}]","[123,141]",,60,,,"[""Att ↓"",""Mag ↓""]",1.3,1,1,1,,,1,0,,,
Flare II,100,5,Magic,"Unstable magic that can deal greater dragon damage, but may damage its caster.",1,,閃焰術 II,"[{""id"":11,""name"":""Dragoon"",""level"":125,""specialization"":false}]","[138,150,143,181,457,296,335]",,100,,,,1.5,1,2,1,,-5,1,0,Dragon,,
Golem's Fortitude,101,5,Buff,Summon the power of a golem. Greatly boosts defenses at the expense of attack power.,1,,魔像的堅韌,"[{""id"":12,""name"":""Druid"",""level"":110,""specialization"":false}]","[231,265]",,60,"[""Att ↓"",""Def ↑↑"",""Res ↑↑""]",,,,,,,,,,,,,
Jinn's Talent,102,5,Buff,Summon the power of a jinn. Greatly boosts magic power at the expense of your defenses.,1,,精靈的天賦,"[{""id"":12,""name"":""Druid"",""level"":110,""specialization"":false}]",,,60,"[""Def ↓↓"",""Res ↓↓"",""Mag ↑↑""]",[81],,,,,,,,,,,,
Mimic's Mischief,103,5,Buff,Summon a mimic. Beware.,1,,寶箱怪的惡作劇,"[{""id"":12,""name"":""Druid"",""level"":105,""specialization"":false}]",[276],,60,"[""Poisoned"",""Cursed"",""Def ↓↓"",""Res ↓↓"",""Att ↑↑"",""Mag ↑↑""]","[64,97]","[""Att ↓"",""Mag ↓"",""Def ↓"",""Res ↓""]",,,,,,,,,,,
