name,id,description,type,tier,boss,arena,image,equipped_by,name_zh,stats.attack.base,materials,dropped_by,cures,quests,gives,stats.magic.base,causes,stats.defense.base,stats.ward.base,element,view_distance,stats.dexterity.base,stats.mana.base,stats.crit.base,stats.resistance.base,stats.hp.base,prevents
Lucky Coin,13,"A shiny, lucky coin. Boosts gold earned for a period of time.",Item,2,false,false,useables/lucky_coin.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",幸運金幣,---,---,"[{""id"":20,""name"":""Goblin Lord""},{""id"":21,""name"":""Minotaur""},{""id"":40,""name"":""Demon Prince""},{""id"":39,""name"":""Draconian Lord""},{""id"":77,""name"":""Demon Knight""},{""id"":72,""name"":""Lizarr Lord""},{""id"":78,""name"":""Lord of Wolves""},{""id"":81,""name"":""Camazotz""},{""id"":176,""name"":""Mimic King""},{""id"":85,""name"":""Orc Lord""},{""id"":86,""name"":""Troll""},{""id"":160,""name"":""Death Worm""},{""id"":109,""name"":""Great Jinn""},{""id"":110,""name"":""Sluagh""},{""id"":111,""name"":""Vampire Lord""},{""id"":116,""name"":""Carman""},{""id"":117,""name"":""Cerberus""},{""id"":194,""name"":""Nin-Kilim""},{""id"":335,""name"":""Arisen Mimic King""}]",---,"[{""id"":3,""name"":""A Handsome Trade""}]",---,---,---,---,---,---,---,---,---,---,---,---,---
Lucky Silver Coin,14,"A shiny, lucky, silver coin. Boosts orns earned for a period of time.",Item,4,false,false,useables/silver_coin.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",幸運銀幣,---,---,"[{""id"":229,""name"":""Bandit Lord""},{""id"":20,""name"":""Goblin Lord""},{""id"":21,""name"":""Minotaur""},{""id"":40,""name"":""Demon Prince""},{""id"":39,""name"":""Draconian Lord""},{""id"":77,""name"":""Demon Knight""},{""id"":72,""name"":""Lizarr Lord""},{""id"":78,""name"":""Lord of Wolves""},{""id"":81,""name"":""Camazotz""},{""id"":85,""name"":""Orc Lord""},{""id"":86,""name"":""Troll""},{""id"":160,""name"":""Death Worm""},{""id"":109,""name"":""Great Jinn""},{""id"":110,""name"":""Sluagh""},{""id"":111,""name"":""Vampire Lord""},{""id"":116,""name"":""Carman""},{""id"":117,""name"":""Cerberus""},{""id"":194,""name"":""Nin-Kilim""},{""id"":335,""name"":""Arisen Mimic King""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
EXP Potion,15,A sour tasting elixir that doubles experience earned for a limited time.,Item,1,false,false,useables/exp_potion.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",經驗值藥水,---,---,"[{""id"":275,""name"":""Kerberos""},{""id"":421,""name"":""Mimic King of Kings""},{""id"":432,""name"":""Ferocious Cerus""},{""id"":431,""name"":""Furious Cerus""},{""id"":428,""name"":""Arisen Kerberos""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Dowsing Rod,16,A strange apparatus suitable for finding that which cannot be easily found. Boosts item and discovery rate for a period of time.,Item,3,false,false,useables/dowsing_rod.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",探測棒,---,---,"[{""id"":207,""name"":""Fomor""},{""id"":176,""name"":""Mimic King""},{""id"":177,""name"":""Starlord""},{""id"":178,""name"":""Titan""},{""id"":179,""name"":""Balor Elite""},{""id"":273,""name"":""Naggeneen""},{""id"":275,""name"":""Kerberos""},{""id"":337,""name"":""Arisen Naggeneen""},{""id"":428,""name"":""Arisen Kerberos""},{""id"":335,""name"":""Arisen Mimic King""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Torch,17,Use it at night to increase visibility. You may attract more monsters as well.,Item,1,false,false,useables/torch.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",火炬,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Occult Candle,18,A mysterious candle that draws more enemies to you for a limited time when lit.,Item,1,false,false,useables/candle.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",玄妙蠟燭,---,---,"[{""id"":420,""name"":""Age-Old Mimic""},{""id"":142,""name"":""Fenrir""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Attack Tonic,19,A sour tonic that raises your attack in battle.,Other,2,false,false,useables/attack_tonic.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",物攻藥劑,---,---,"[{""id"":444,""name"":""Hel""},{""id"":347,""name"":""Scruug""},{""id"":411,""name"":""Surtr""},{""id"":362,""name"":""The Fool (2020)""},{""id"":430,""name"":""The Fool (2021)""},{""id"":275,""name"":""Kerberos""},{""id"":440,""name"":""Arisen Cade""},{""id"":348,""name"":""Ebon Scruug""},{""id"":431,""name"":""Furious Cerus""},{""id"":443,""name"":""Arisen Hel""},{""id"":428,""name"":""Arisen Kerberos""},{""id"":412,""name"":""Arisen Surtr""}]",---,---,"[""Att ↑""]",---,---,---,---,---,---,---,---,---,---,---,---
Defense Tonic,20,A sour tonic that raises your defense in battle.,Other,2,false,false,useables/defense_tonic.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",物防藥劑,---,---,"[{""id"":444,""name"":""Hel""},{""id"":411,""name"":""Surtr""},{""id"":362,""name"":""The Fool (2020)""},{""id"":430,""name"":""The Fool (2021)""},{""id"":275,""name"":""Kerberos""},{""id"":440,""name"":""Arisen Cade""},{""id"":348,""name"":""Ebon Scruug""},{""id"":443,""name"":""Arisen Hel""},{""id"":428,""name"":""Arisen Kerberos""},{""id"":412,""name"":""Arisen Surtr""}]",---,---,"[""Def ↑""]",---,---,---,---,---,---,---,---,---,---,---,---
Speed Tonic,21,A sour tonic that raises your speed in battle.,Other,3,false,false,useables/speed_tonic.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",速度藥水,---,---,"[{""id"":362,""name"":""The Fool (2020)""},{""id"":430,""name"":""The Fool (2021)""},{""id"":275,""name"":""Kerberos""},{""id"":440,""name"":""Arisen Cade""},{""id"":428,""name"":""Arisen Kerberos""}]",---,---,"[""Dex ↑""]",---,---,---,---,---,---,---,---,---,---,---,---
Magic Tonic,22,A sour tonic that raises your magic in battle.,Other,2,false,false,useables/magic_tonic.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",魔力藥劑,---,---,"[{""id"":444,""name"":""Hel""},{""id"":347,""name"":""Scruug""},{""id"":411,""name"":""Surtr""},{""id"":413,""name"":""Fallen Merlin""},{""id"":362,""name"":""The Fool (2020)""},{""id"":430,""name"":""The Fool (2021)""},{""id"":275,""name"":""Kerberos""},{""id"":440,""name"":""Arisen Cade""},{""id"":348,""name"":""Ebon Scruug""},{""id"":443,""name"":""Arisen Hel""},{""id"":428,""name"":""Arisen Kerberos""},{""id"":412,""name"":""Arisen Surtr""}]",---,---,"[""Mag ↑""]",---,---,---,---,---,---,---,---,---,---,---,---
Monster Remains,23,Fragment remains of a fallen monster. Attracts a boss to your location when used.,Item,3,false,false,useables/remains.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",魔物遺骸,---,---,"[{""id"":432,""name"":""Ferocious Cerus""},{""id"":431,""name"":""Furious Cerus""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Great Monster Remains,24,Fragrant remains of a fallen monster. Attracts a (Berserk) boss to your location when used.,Item,4,false,false,useables/great_remains.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",魔物遺骸加強版,---,---,"[{""id"":33,""name"":""Great Mimic""},{""id"":176,""name"":""Mimic King""},{""id"":247,""name"":""Ancient Mimic""},{""id"":304,""name"":""Mighty Mimic""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Coffee,25,The nectar of the gods.,Curative,1,false,false,useables/coffee.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",咖啡,---,---,---,"[""Asleep""]",---,"[""Dex ↑""]",---,---,---,---,---,---,---,---,---,---,---,---
Broadsword,26,A sword with a wide blade.,Weapon,1,false,false,weapons/long_sword.png,"[{""id"":1,""name"":""Warrior""}]",闊劍,15,"[{""id"":263,""name"":""Iron""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Cane,27,A wise mage's cane.,Weapon,1,false,false,weapons/cane.png,"[{""id"":2,""name"":""Mage""}]",杖,2,---,---,---,---,---,15,---,---,---,---,---,---,---,---,---,---,---
Dagger,28,A small blade ideal for close quartered combat.,Weapon,1,false,false,weapons/dagger.png,"[{""id"":3,""name"":""Thief""}]",匕首,10,"[{""id"":263,""name"":""Iron""}]","[{""id"":7,""name"":""Goblin""}]",---,---,---,---,"[""Bleeding""]",---,---,---,---,---,---,---,---,---,---
Rusty Sword,29,"An old, rusty sword.",Weapon,1,false,false,weapons/small_sword.png,"[{""id"":1,""name"":""Warrior""}]",生鏽的劍,5,"[{""id"":263,""name"":""Iron""}]","[{""id"":14,""name"":""Skeleton""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Short Sword,30,"A trusty, yet short, sword.",Weapon,1,false,false,weapons/small_sword.png,"[{""id"":1,""name"":""Warrior""}]",短劍,10,"[{""id"":276,""name"":""Steel""}]","[{""id"":32,""name"":""Goblin Warrior""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Staff,31,A mage's staff.,Weapon,1,false,false,weapons/staff.png,"[{""id"":2,""name"":""Mage""}]",法杖,1,"[{""id"":283,""name"":""Wood""}]","[{""id"":8,""name"":""Goblin Mage""}]",---,---,---,5,---,---,---,---,---,---,---,---,---,---,---
Sword and Shield,32,A simple sword and shield.,Weapon,1,false,false,weapons/sword_and_shield.png,"[{""id"":1,""name"":""Warrior""}]",劍盾,15,"[{""id"":263,""name"":""Iron""}]","[{""id"":58,""name"":""Skeleton Warrior""}]",---,---,---,---,---,5,2,---,---,---,---,---,---,---,---
Wooden Staff,33,A mage's staff crafted of enchanted wood.,Weapon,1,false,true,weapons/wooden_staff.png,"[{""id"":2,""name"":""Mage""}]",木製法杖,4,"[{""id"":345,""name"":""Soul""}]","[{""id"":60,""name"":""Walking Wood""}]",---,---,---,22,---,---,---,---,---,---,---,---,---,---,---
Axe,34,A woodcutter's axe. Useful as a tool or as a weapon.,Weapon,2,false,false,weapons/axe.png,"[{""id"":1,""name"":""Warrior""}]",斧頭,25,"[{""id"":263,""name"":""Iron""}]","[{""id"":1,""name"":""Barbarian""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Axe of Night,35,An axe wielded by monsters of the night.  Enhanced with dark magic.,Weapon,2,true,false,weapons/axe.png,"[{""id"":1,""name"":""Warrior""}]",夜之斧,31,"[{""id"":253,""name"":""Demonic Ore""}]","[{""id"":40,""name"":""Demon Prince""}]",---,---,---,8,---,---,---,Dark,---,---,---,---,---,---,---
Battle Axe,36,"A large, crushing axe.",Weapon,2,false,false,weapons/battle_axe.png,"[{""id"":1,""name"":""Warrior""}]",戰斧,24,"[{""id"":263,""name"":""Iron""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Bearclaw,37,A crude blade forged of the remains of a bear.,Weapon,2,false,false,weapons/bearclaw.png,"[{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",熊爪,24,"[{""id"":249,""name"":""Bone""}]","[{""id"":122,""name"":""Bear""}]",---,---,---,12,---,---,---,---,---,---,---,---,---,---,---
Blue Dagger,38,A small blade ideal for close quartered combat. This one in particular is imbued with ice.,Weapon,2,false,false,weapons/blue_dagger.png,"[{""id"":3,""name"":""Thief""}]",藍色短刀,26,"[{""id"":280,""name"":""Waterstone""}]","[{""id"":41,""name"":""Blue Flame""}]",---,---,---,5,"[""Frozen""]",---,---,Water,---,---,---,---,---,---,---
Blue Wand,39,A wand for casting magic. This one is particular is imbued with ice.,Weapon,2,false,false,weapons/blue_wand.png,"[{""id"":2,""name"":""Mage""}]",藍魔杖,5,"[{""id"":280,""name"":""Waterstone""}]","[{""id"":41,""name"":""Blue Flame""}]",---,---,---,25,"[""Frozen""]",---,---,Water,---,---,---,---,---,---,---
Claymore,40,A large cross-hilted weapon that is seen as a sign of distinction. It may break the enemy's defenses.,Weapon,2,false,false,weapons/great_sword.png,"[{""id"":1,""name"":""Warrior""}]",寬刃劍,30,"[{""id"":276,""name"":""Steel""}]",---,---,---,---,---,"[""Def ↓""]",---,---,---,---,---,---,---,---,---,---
Crossbow,41,A hunter's crossbow.,Weapon,2,false,false,weapons/crossbow.png,"[{""id"":3,""name"":""Thief""}]",弩,20,"[{""id"":283,""name"":""Wood""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Dirk,42,A long thrusting dagger. Has a high chance to cause bleeding.,Weapon,2,false,true,weapons/dagger.png,"[{""id"":3,""name"":""Thief""}]",蘇格蘭短劍,35,"[{""id"":345,""name"":""Soul""},{""id"":276,""name"":""Steel""}]",---,---,---,---,---,"[""Bleeding""]",---,---,---,---,---,---,---,---,---,---
Draconian Archistaff,43,An archistaff granted to Draconian lords. Illuminates your path while carried.,Weapon,2,true,false,weapons/draco_archistaff.png,"[{""id"":2,""name"":""Mage""}]",德肯尼亞族權杖,8,"[{""id"":271,""name"":""Pure Draconite""}]","[{""id"":39,""name"":""Draconian Lord""}]",---,---,---,48,---,---,---,---,true,---,---,---,---,---,---
Draconian Bow,44,A bow of a Draconian forged by the Draconians.,Weapon,2,false,false,weapons/draco_bow.png,"[{""id"":3,""name"":""Thief""}]",德肯尼亞族之弓,25,"[{""id"":254,""name"":""Draconite""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Draconian Sceptre,45,A staff of a Draconian acolyte. High magic power.,Weapon,2,false,false,weapons/draco_sceptre.png,"[{""id"":2,""name"":""Mage""}]",德肯尼亞族之笏,5,"[{""id"":254,""name"":""Draconite""}]","[{""id"":42,""name"":""Draconian Acolyte""}]",---,---,---,50,---,---,---,---,---,---,---,---,---,---,---
Draconian Sword,46,A sword of a Draconian blacksmith. The quality is quite surprising.,Weapon,2,false,false,weapons/draco_sword.png,"[{""id"":1,""name"":""Warrior""}]",德肯尼亞族之劍,30,"[{""id"":254,""name"":""Draconite""}]","[{""id"":22,""name"":""Draconian""},{""id"":43,""name"":""Draconian Rogue""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Draconian Staff,47,A staff of a Draconian mage. Boasts above average magic power.,Weapon,2,false,false,weapons/wooden_staff.png,"[{""id"":2,""name"":""Mage""}]",德肯尼亞族法杖,3,"[{""id"":254,""name"":""Draconite""}]","[{""id"":26,""name"":""Draconian Mage""}]",---,---,---,30,---,---,---,---,---,---,---,---,---,---,---
Falchion,48,"A single edged sword with a curved blade, often used as a tool rather than in combat.",Weapon,2,false,false,weapons/falchion.png,"[{""id"":3,""name"":""Thief""}]",寬刃刀,25,"[{""id"":276,""name"":""Steel""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Fallen Mage's Staff,49,The trusty staff of a fallen mage.,Weapon,2,false,false,weapons/wooden_staff.png,"[{""id"":2,""name"":""Mage""}]",墮落法師之杖,---,"[{""id"":283,""name"":""Wood""}]","[{""id"":3,""name"":""Fallen Mage""},{""id"":48,""name"":""Fallen Witch""}]",---,---,---,50,---,---,---,---,---,---,---,---,---,---,---
Fallen Thief's Dagger,50,The trusty dagger of a fallen thief.,Weapon,2,false,false,weapons/small_sword.png,"[{""id"":3,""name"":""Thief""}]",墮落盜賊的匕首,50,"[{""id"":263,""name"":""Iron""}]","[{""id"":4,""name"":""Fallen Thief""}]",---,---,---,---,"[""Bleeding""]",---,---,---,---,---,---,---,---,---,---
Fallen Warrior's Sword,51,The trusty sword of an unfortunately fallen warrior.,Weapon,2,false,false,weapons/great_sword.png,"[{""id"":1,""name"":""Warrior""}]",墮落戰士之劍,50,"[{""id"":276,""name"":""Steel""}]","[{""id"":5,""name"":""Fallen Warrior""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Great Staff,52,A staff favored by archmages of the olden times.,Weapon,2,false,true,weapons/great_staff.png,"[{""id"":2,""name"":""Mage""}]",強大法杖,5,"[{""id"":346,""name"":""Greater Soul""}]",---,---,---,---,42,---,---,---,---,---,---,---,---,---,---,---
Greatsword,53,"An extremely heavy sword, that must be wielded with all your might.",Weapon,2,false,false,weapons/great_sword.png,"[{""id"":1,""name"":""Warrior""}]",巨劍,45,"[{""id"":276,""name"":""Steel""}]","[{""id"":78,""name"":""Lord of Wolves""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Iron Hammer,54,A large hammer suitable for crushing blows.,Weapon,2,false,false,weapons/hammer.png,"[{""id"":1,""name"":""Warrior""}]",鐵鎚,30,"[{""id"":263,""name"":""Iron""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Kunai,55,A simple pair of kunai.,Weapon,2,false,true,weapons/kunai.png,"[{""id"":3,""name"":""Thief""}]",苦無,40,"[{""id"":345,""name"":""Soul""}]",---,---,---,---,---,---,-5,2,---,---,---,---,---,---,---,---
Longsword,56,A trusty longsword.,Weapon,2,false,false,weapons/long_sword.png,"[{""id"":1,""name"":""Warrior""}]",長劍,27,"[{""id"":276,""name"":""Steel""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Mace,57,A blunt weapon suitable for heavy blows.,Weapon,2,false,false,weapons/mace.png,"[{""id"":1,""name"":""Warrior""}]",狼牙棒,27,"[{""id"":276,""name"":""Steel""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Minotaur Axe,58,"A large, crushing axe used by a minotaur.",Weapon,2,true,false,weapons/battle_axe.png,"[{""id"":1,""name"":""Warrior""}]",牛頭怪斧,44,"[{""id"":261,""name"":""Hardened Steel""}]","[{""id"":21,""name"":""Minotaur""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Red Dagger,59,A small blade ideal for close quartered combat. This one in particular is imbued with fire.,Weapon,2,false,false,weapons/red_dagger.png,"[{""id"":3,""name"":""Thief""}]",紅色短刀,30,"[{""id"":259,""name"":""Firestone""}]","[{""id"":31,""name"":""Flame""},{""id"":41,""name"":""Blue Flame""}]",---,---,---,5,"[""Burning"",""Bleeding""]",---,---,Fire,---,---,---,---,---,---,---
Ruby Wand,60,A wand for casting magic. This one in particular is imbued with fire.,Weapon,2,false,false,weapons/red_wand.png,"[{""id"":2,""name"":""Mage""}]",紅寶石魔杖,5,"[{""id"":259,""name"":""Firestone""}]","[{""id"":31,""name"":""Flame""},{""id"":41,""name"":""Blue Flame""}]",---,---,---,20,"[""Burning""]",---,---,Fire,---,---,---,---,---,---,---
Scimitar,61,"A short sword with a curved blade, designed for horseback combat.",Weapon,2,false,false,weapons/falchion.png,"[{""id"":3,""name"":""Thief""}]",馬刀,28,"[{""id"":276,""name"":""Steel""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Steelguard,62,A sword and shield pairing made of hardened steel.,Weapon,2,false,true,weapons/steel_guard.png,"[{""id"":1,""name"":""Warrior""}]",鐵衛,30,"[{""id"":345,""name"":""Soul""},{""id"":276,""name"":""Steel""}]",---,---,---,---,---,---,10,4,---,---,---,---,---,---,---,---
Ankh,64,"A strange, ancient staff. It seems it can cast spells and also be used as a weapon.",Weapon,3,true,false,weapons/ankh.png,"[{""id"":2,""name"":""Mage""},{""id"":3,""name"":""Thief""},{""id"":1,""name"":""Warrior""}]",生命之符,70,"[{""id"":248,""name"":""Ancient Stone""}]","[{""id"":80,""name"":""Lost Pharaoh""}]",---,"[{""id"":11,""name"":""A Study of Artifacts""}]",---,70,---,---,---,---,---,---,---,---,---,---,---
Bow of Scales,65,"Although the Lizarr seemed untrained in advanced weaponry, these fine bows have been found within their settlements. This bow is enchanted with the power of ice and water.",Weapon,3,true,false,weapons/lizarr_bow.png,"[{""id"":3,""name"":""Thief""}]",鱗之弓,60,"[{""id"":274,""name"":""Scalestone""}]","[{""id"":72,""name"":""Lizarr Lord""}]",---,---,---,22,"[""Frozen""]",---,---,Water,---,---,---,---,---,---,---
Cutlass,66,A curved blade often used by nautical warriors.,Weapon,3,false,false,weapons/falchion.png,"[{""id"":3,""name"":""Thief""}]",彎刀,49,"[{""id"":276,""name"":""Steel""}]",---,---,---,---,---,---,---,---,Physical,---,---,---,---,---,---,---
Demonic Blade,67,Blade of the wandering demon knights. Its thick obsidian blade is infused with the power of darkness and may cause an opponent to fall asleep.,Weapon,3,true,false,weapons/demonic_blade.png,"[{""id"":1,""name"":""Warrior""}]",惡魔刀刃,78,"[{""id"":253,""name"":""Demonic Ore""}]","[{""id"":77,""name"":""Demon Knight""},{""id"":91,""name"":""Darkest Demon""}]",---,---,---,---,"[""Asleep""]",---,---,Dark,---,---,---,---,---,---,---
Fallen Archistaff,68,The archistaff of a powerful fallen mage.,Weapon,3,false,false,weapons/archistaff.png,"[{""id"":2,""name"":""Mage""}]",墮落權杖,---,"[{""id"":273,""name"":""Runestone""}]","[{""id"":45,""name"":""Fallen Archmage""}]",---,---,---,75,---,---,---,---,---,---,---,---,---,---,---
Fallen Knight's Axe,69,A large axe of a fallen knight.,Weapon,3,false,false,weapons/battle_axe.png,"[{""id"":1,""name"":""Warrior""}]",墮落騎士的斧,75,"[{""id"":276,""name"":""Steel""}]","[{""id"":46,""name"":""Fallen Knight""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Fallen Rogue's Bow,70,The longbow of a fallen rogue.,Weapon,3,false,false,weapons/longbow.png,"[{""id"":3,""name"":""Thief""}]",墮落俠盜的弓,75,---,"[{""id"":47,""name"":""Fallen Rogue""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Flamberge,71,"A large, undulating blade said to resemble that of flames.",Weapon,3,false,false,weapons/flamberge.png,"[{""id"":1,""name"":""Warrior""}]",弗蘭伯基,60,"[{""id"":276,""name"":""Steel""}]",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Flameguard,72,A sword and shield pairing enchanted with the power of fire.,Weapon,3,false,true,weapons/flame_guard.png,"[{""id"":1,""name"":""Warrior""}]",烈焰守衛,60,"[{""id"":259,""name"":""Firestone""},{""id"":345,""name"":""Soul""}]",---,---,---,---,---,"[""Burning""]",20,3,Fire,---,---,---,---,---,---,---
Frosty Daggers,73,A pair of of daggers enchanted with the power of the cold.,Weapon,3,false,true,weapons/frost_daggers.png,"[{""id"":3,""name"":""Thief""}]",霧之匕首,70,"[{""id"":345,""name"":""Soul""},{""id"":280,""name"":""Waterstone""}]",---,---,---,---,---,"[""Frozen""]",-15,4,Water,---,---,---,---,---,---,---
